ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 11:23:00-ABEV3,2023.04.14 11:23:00,ABEV3,14.63,14.64,14.63,14.63,6000,1,11
2023.04.14 11:23:00-ALPA4,2023.04.14 11:23:00,ALPA4,7.5600000000000005,7.57,7.5600000000000005,7.57,24900,1,12
2023.04.14 11:23:00-ALSO3,2023.04.14 11:23:00,ALSO3,18.51,18.51,18.47,18.5,8400,1,17
2023.04.14 11:23:00-ARZZ3,2023.04.14 11:23:00,ARZZ3,67.28,67.4,67.28,67.36,3400,5,18
2023.04.14 11:23:00-ASAI3,2023.04.14 11:23:00,ASAI3,13.36,13.37,13.32,13.33,91300,1,71
2023.04.14 11:23:00-AZUL4,2023.04.14 11:23:00,AZUL4,11.62,11.63,11.61,11.62,35900,1,13
2023.04.14 11:23:00-B3SA3,2023.04.14 11:23:00,B3SA3,11.79,11.8,11.78,11.8,18900,1,36
2023.04.14 11:23:00-BBAS3,2023.04.14 11:23:00,BBAS3,42.94,42.96,42.89,42.95,35100,1,47
2023.04.14 11:23:00-BBDC3,2023.04.14 11:23:00,BBDC3,12.38,12.39,12.38,12.39,16900,1,7
2023.04.14 11:23:00-BBDC4,2023.04.14 11:23:00,BBDC4,13.83,13.84,13.82,13.82,74000,1,108
2023.04.14 11:23:00-BBSE3,2023.04.14 11:23:00,BBSE3,34.78,34.78,34.75,34.77,5400,1,18
2023.04.14 11:23:00-BEEF3,2023.04.14 11:23:00,BEEF3,9.4,9.41,9.4,9.41,8300,1,28
2023.04.14 11:23:00-BPAC11,2023.04.14 11:23:00,BPAC11,23.11,23.11,23.1,23.11,5700,1,10
2023.04.14 11:23:00-BPAN4,2023.04.14 11:23:00,BPAN4,5.47,5.47,5.47,5.47,100,1,1
2023.04.14 11:23:00-BRAP4,2023.04.14 11:23:00,BRAP4,26.56,26.58,26.55,26.58,9300,1,15
2023.04.14 11:23:00-BRFS3,2023.04.14 11:23:00,BRFS3,6.09,6.11,6.09,6.11,18700,1,17
2023.04.14 11:23:00-BRKM5,2023.04.14 11:23:00,BRKM5,21.45,21.49,21.38,21.49,65400,1,62
2023.04.14 11:23:00-CASH3,2023.04.14 11:23:00,CASH3,0.95,0.95,0.95,0.95,1900,1,10
2023.04.14 11:23:00-CCRO3,2023.04.14 11:23:00,CCRO3,13.01,13.02,12.98,12.99,60900,1,28
2023.04.14 11:23:00-CIEL3,2023.04.14 11:23:00,CIEL3,5.06,5.06,5.04,5.04,12900,1,11
2023.04.14 11:23:00-CMIG4,2023.04.14 11:23:00,CMIG4,12.06,12.07,12.04,12.06,23400,1,37
2023.04.14 11:23:00-CMIN3,2023.04.14 11:23:00,CMIN3,4.71,4.73,4.71,4.73,3300,1,9
2023.04.14 11:23:00-COGN3,2023.04.14 11:23:00,COGN3,2.02,2.03,2.02,2.02,2100,1,9
2023.04.14 11:23:00-CPFE3,2023.04.14 11:23:00,CPFE3,33.45,33.45,33.42,33.44,2500,1,7
2023.04.14 11:23:00-CPLE6,2023.04.14 11:23:00,CPLE6,7.79,7.8,7.78,7.79,34000,1,16
2023.04.14 11:23:00-CRFB3,2023.04.14 11:23:00,CRFB3,11.06,11.07,11.05,11.07,9200,1,14
2023.04.14 11:23:00-CSAN3,2023.04.14 11:23:00,CSAN3,15.79,15.8,15.76,15.8,28800,1,14
2023.04.14 11:23:00-CSNA3,2023.04.14 11:23:00,CSNA3,14.65,14.65,14.64,14.64,18000,1,18
2023.04.14 11:23:00-CVCB3,2023.04.14 11:23:00,CVCB3,3.24,3.24,3.23,3.24,900,1,5
2023.04.14 11:23:00-CYRE3,2023.04.14 11:23:00,CYRE3,15.66,15.66,15.63,15.65,6100,1,15
2023.04.14 11:23:00-DXCO3,2023.04.14 11:23:00,DXCO3,6.14,6.15,6.14,6.14,1900,1,13
2023.04.14 11:23:00-ECOR3,2023.04.14 11:23:00,ECOR3,6.14,6.14,6.13,6.13,600,1,6
2023.04.14 11:23:00-EGIE3,2023.04.14 11:23:00,EGIE3,40.47,40.47,40.4,40.45,4200,1,14
2023.04.14 11:23:00-ELET3,2023.04.14 11:23:00,ELET3,34.62,34.63,34.59,34.61,9000,1,21
2023.04.14 11:23:00-ELET6,2023.04.14 11:23:00,ELET6,38.21,38.21,38.15,38.18,1400,1,11
2023.04.14 11:23:00-EMBR3,2023.04.14 11:23:00,EMBR3,20.37,20.37,20.36,20.37,6200,1,10
2023.04.14 11:23:00-ENBR3,2023.04.14 11:23:00,ENBR3,22.19,22.19,22.17,22.18,11400,1,11
2023.04.14 11:23:00-ENEV3,2023.04.14 11:23:00,ENEV3,11.38,11.41,11.38,11.41,2700,1,17
