ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.13 16:54:00-ABEV3,2023.04.13 16:54:00,ABEV3,14.61,14.63,14.59,14.59,3296700,1,351
2023.04.14 10:04:00-ALPA4,2023.04.14 10:04:00,ALPA4,7.92,7.92,7.85,7.87,80600,1,38
2023.04.14 10:04:00-ALSO3,2023.04.14 10:04:00,ALSO3,18.48,18.48,18.48,18.48,100,4,1
2023.04.13 16:54:00-ARZZ3,2023.04.13 16:54:00,ARZZ3,68.9,69.06,68.84,68.87,219400,1,113
2023.04.14 10:04:00-ASAI3,2023.04.14 10:04:00,ASAI3,13.65,13.65,13.6,13.64,24600,1,39
2023.04.14 10:04:00-AZUL4,2023.04.14 10:04:00,AZUL4,11.88,11.9,11.86,11.86,39300,1,23
2023.04.13 16:54:00-B3SA3,2023.04.13 16:54:00,B3SA3,11.75,11.75,11.72,11.74,6546100,1,361
2023.04.13 16:54:00-BBAS3,2023.04.13 16:54:00,BBAS3,42.72,42.72,42.58,42.7,1896100,1,608
2023.04.14 10:04:00-BBDC3,2023.04.14 10:04:00,BBDC3,12.31,12.31,12.28,12.3,33600,1,47
2023.04.14 10:04:00-BBDC4,2023.04.14 10:04:00,BBDC4,13.74,13.74,13.66,13.7,227400,1,88
2023.04.14 10:04:00-BBSE3,2023.04.14 10:04:00,BBSE3,34.74,34.86,34.69,34.84,11000,2,27
2023.04.14 10:04:00-BEEF3,2023.04.14 10:04:00,BEEF3,9.4,9.4,9.26,9.35,115300,1,83
2023.04.14 10:04:00-BPAC11,2023.04.14 10:04:00,BPAC11,22.83,22.83,22.76,22.81,13700,1,15
2023.04.14 10:04:00-BPAN4,2023.04.14 10:04:00,BPAN4,5.44,5.44,5.42,5.42,400,2,3
2023.04.14 10:04:00-BRAP4,2023.04.14 10:04:00,BRAP4,26.54,26.54,26.45,26.46,10300,3,11
2023.04.14 10:04:00-BRFS3,2023.04.14 10:04:00,BRFS3,6.23,6.23,6.19,6.22,42100,1,25
2023.04.14 10:04:00-BRKM5,2023.04.14 10:04:00,BRKM5,20.75,21.03,20.68,21.01,140000,1,123
2023.04.14 10:04:00-CASH3,2023.04.14 10:04:00,CASH3,0.95,0.95,0.94,0.94,129800,1,6
2023.04.13 16:54:00-CCRO3,2023.04.13 16:54:00,CCRO3,13.45,13.52,13.43,13.52,1232700,1,186
2023.04.14 10:04:00-CIEL3,2023.04.14 10:04:00,CIEL3,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,5300,1,4
2023.04.14 10:04:00-CMIG4,2023.04.14 10:04:00,CMIG4,12.27,12.27,12.2,12.2,69400,1,37
2023.04.14 10:04:00-CMIN3,2023.04.14 10:04:00,CMIN3,4.8,4.8,4.75,4.77,122000,1,13
2023.04.14 10:04:00-COGN3,2023.04.14 10:04:00,COGN3,2.01,2.01,2.0,2.01,75900,1,8
2023.04.14 10:04:00-CPFE3,2023.04.14 10:04:00,CPFE3,33.33,33.34,33.24,33.34,4000,5,12
2023.04.13 16:54:00-CPLE6,2023.04.13 16:54:00,CPLE6,7.89,7.9,7.83,7.83,5360300,1,248
2023.04.13 16:54:00-CRFB3,2023.04.13 16:54:00,CRFB3,11.36,11.36,11.35,11.36,874800,1,174
2023.04.13 16:54:00-CSAN3,2023.04.13 16:54:00,CSAN3,15.74,15.77,15.73,15.77,857000,1,191
2023.04.13 16:54:00-CSNA3,2023.04.13 16:54:00,CSNA3,15.6,15.64,15.57,15.64,2467700,1,333
2023.04.14 10:04:00-CVCB3,2023.04.14 10:04:00,CVCB3,3.3,3.31,3.29,3.3,70900,1,14
2023.04.14 10:04:00-CYRE3,2023.04.14 10:04:00,CYRE3,15.71,15.71,15.69,15.69,2900,2,5
2023.04.14 10:04:00-DXCO3,2023.04.14 10:04:00,DXCO3,6.09,6.09,6.09,6.09,5100,1,4
2023.04.14 10:04:00-ECOR3,2023.04.14 10:04:00,ECOR3,6.23,6.23,6.21,6.22,13400,1,14
2023.04.14 10:04:00-EGIE3,2023.04.14 10:04:00,EGIE3,40.7,40.7,40.7,40.7,200,3,1
