ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.14 10:07:00-ABEV3,2023.04.14 10:07:00,ABEV3,14.5,14.5,14.46,14.49,71400,0,11
2023.04.14 10:07:00-ALPA4,2023.04.14 10:07:00,ALPA4,7.9,7.91,7.89,7.89,2500,1,6
2023.04.14 10:07:00-ALSO3,2023.04.14 10:07:00,ALSO3,18.44,18.44,18.44,18.44,300,3,2
2023.04.14 10:07:00-ARZZ3,2023.04.14 10:07:00,ARZZ3,67.85,67.99,67.84,67.85,2300,0,6
2023.04.14 10:07:00-ASAI3,2023.04.14 10:07:00,ASAI3,13.69,13.73,13.69,13.72,24600,1,16
2023.04.14 10:07:00-AZUL4,2023.04.14 10:07:00,AZUL4,11.88,11.89,11.87,11.88,36500,1,7
2023.04.14 10:07:00-B3SA3,2023.04.14 10:07:00,B3SA3,11.56,11.59,11.55,11.58,70000,0,16
2023.04.14 10:07:00-BBAS3,2023.04.14 10:07:00,BBAS3,42.62,42.62,42.58,42.59,4828700,0,10
2023.04.14 10:07:00-BBDC3,2023.04.14 10:07:00,BBDC3,12.3,12.32,12.3,12.3,8100,2,25
2023.04.14 10:07:00-BBDC4,2023.04.14 10:07:00,BBDC4,13.74,13.76,13.74,13.75,70900,1,49
2023.04.14 10:07:00-BBSE3,2023.04.14 10:07:00,BBSE3,34.91,34.92,34.89,34.89,4300,2,11
2023.04.14 10:07:00-BEEF3,2023.04.14 10:07:00,BEEF3,9.35,9.35,9.35,9.35,6900,1,4
2023.04.14 10:07:00-BPAC11,2023.04.14 10:07:00,BPAC11,22.93,22.96,22.93,22.96,3000,1,6
2023.04.14 10:07:00-BPAN4,2023.04.14 10:07:00,BPAN4,5.49,5.49,5.48,5.48,2600,2,4
2023.04.14 10:05:00-BRAP4,2023.04.14 10:05:00,BRAP4,26.49,26.49,26.48,26.48,200,3,2
2023.04.14 10:07:00-BRFS3,2023.04.14 10:07:00,BRFS3,6.24,6.25,6.24,6.24,5700,1,8
2023.04.14 10:07:00-BRKM5,2023.04.14 10:07:00,BRKM5,21.0,21.03,21.0,21.01,16100,1,19
2023.04.14 10:07:00-CASH3,2023.04.14 10:07:00,CASH3,0.95,0.95,0.94,0.94,287800,1,7
2023.04.14 10:07:00-CCRO3,2023.04.14 10:07:00,CCRO3,13.19,13.19,13.15,13.19,28200,0,5
2023.04.14 10:07:00-CIEL3,2023.04.14 10:07:00,CIEL3,4.9399999999999995,4.9399999999999995,4.9399999999999995,4.9399999999999995,23100,1,5
