ID,DateTime,Ticker,Open,High,Low,Close,RealVolume,Spread,TickVolume
2023.04.17 10:06:00-ABEV3,2023.04.17 10:06:00,ABEV3,14.75,14.75,14.71,14.71,25900,1,11
2023.04.17 10:06:00-ALPA4,2023.04.17 10:06:00,ALPA4,7.42,7.44,7.42,7.43,10900,1,13
2023.04.14 16:54:00-ALSO3,2023.04.14 16:54:00,ALSO3,18.63,18.63,18.59,18.62,435100,1,130
2023.04.17 10:06:00-ARZZ3,2023.04.17 10:06:00,ARZZ3,68.33,68.33,68.29,68.29,300,7,3
2023.04.17 10:06:00-ASAI3,2023.04.17 10:06:00,ASAI3,13.33,13.4,13.32,13.39,65700,1,41
2023.04.17 10:06:00-AZUL4,2023.04.17 10:06:00,AZUL4,11.58,11.6,11.56,11.59,37600,1,28
2023.04.17 10:06:00-B3SA3,2023.04.17 10:06:00,B3SA3,12.02,12.02,12.0,12.0,39200,1,19
2023.04.17 10:06:00-BBAS3,2023.04.17 10:06:00,BBAS3,43.24,43.25,43.16,43.21,16200,1,24
2023.04.17 10:06:00-BBDC3,2023.04.17 10:06:00,BBDC3,12.4,12.41,12.4,12.4,1900,1,6
2023.04.17 10:06:00-BBDC4,2023.04.17 10:06:00,BBDC4,13.75,13.75,13.73,13.74,7500,1,31
2023.04.17 10:06:00-BBSE3,2023.04.17 10:06:00,BBSE3,34.73,34.74,34.73,34.74,400,1,2
2023.04.14 16:54:00-BEEF3,2023.04.14 16:54:00,BEEF3,9.43,9.46,9.42,9.46,987700,1,206
2023.04.17 10:07:00-BPAC11,2023.04.17 10:07:00,BPAC11,23.0,23.0,23.0,23.0,6300,0,1
2023.04.17 10:06:00-BPAN4,2023.04.17 10:06:00,BPAN4,5.46,5.46,5.45,5.45,900,2,3
2023.04.17 10:06:00-BRAP4,2023.04.17 10:06:00,BRAP4,26.69,26.72,26.62,26.65,65200,1,31
2023.04.17 10:06:00-BRFS3,2023.04.17 10:06:00,BRFS3,6.13,6.13,6.1,6.12,5600,1,7
2023.04.17 10:06:00-BRKM5,2023.04.17 10:06:00,BRKM5,20.61,20.64,20.61,20.63,2000,1,6
2023.04.17 10:06:00-CASH3,2023.04.17 10:06:00,CASH3,0.95,0.95,0.95,0.95,136400,1,3
2023.04.17 10:06:00-CCRO3,2023.04.17 10:06:00,CCRO3,12.99,12.99,12.99,12.99,100,2,1
2023.04.17 10:06:00-CIEL3,2023.04.17 10:06:00,CIEL3,5.12,5.14,5.12,5.14,96600,1,19
2023.04.17 10:06:00-CMIG4,2023.04.17 10:06:00,CMIG4,12.38,12.38,12.37,12.37,7200,1,5
2023.04.17 10:06:00-CMIN3,2023.04.17 10:06:00,CMIN3,4.73,4.77,4.73,4.77,44800,1,12
2023.04.17 10:06:00-COGN3,2023.04.17 10:06:00,COGN3,2.04,2.04,2.03,2.03,240700,1,13
2023.04.17 10:06:00-CPFE3,2023.04.17 10:06:00,CPFE3,33.99,34.03,33.95,33.95,2400,3,9
2023.04.17 10:06:00-CPLE6,2023.04.17 10:06:00,CPLE6,7.89,7.89,7.89,7.89,400,1,4
